"Date","Revenue"
2025-08-17,59742.6
2025-08-18,59183.65
2025-08-19,60388.22
2025-08-20,60381.98
2025-08-21,60559.83
2025-08-22,60161.03
2025-08-23,59863.6
2025-08-24,59123.08
2025-08-25,59062.22
2025-08-26,59356.93
2025-08-27,59596.92
2025-08-28,59178.82
2025-08-29,58759.47
2025-08-30,58511.39
2025-08-31,59433.56
2025-09-01,58805.17
2025-09-02,58746.92
2025-09-03,59911.5
2025-09-04,59898.93
2025-09-05,59132.32
2025-09-06,58786.53
2025-09-07,59118.95
2025-09-08,58944.19
2025-09-09,58660.15
2025-09-10,58505.34
2025-09-11,58605.09
2025-09-12,59588.78
2025-09-13,59583.67
2025-09-14,60275.32
2025-09-15,60703.73
2025-09-16,60683.31
2025-09-17,59801.64
2025-09-18,59537.85
2025-09-19,59293.82
2025-09-20,59369.21
2025-09-21,60188.63
2025-09-22,61616.95
2025-09-23,62619.82
2025-09-24,62586.53
2025-09-25,61537.25
2025-09-26,61347.24
2025-09-27,61451.04
2025-09-28,62019.47
2025-09-29,62666.04
2025-09-30,63145
2025-10-01,62314.47
2025-10-02,62893.78
2025-10-03,62663.23
2025-10-04,62822.9
2025-10-05,62920
2025-10-06,63239.73
2025-10-07,63305.93
2025-10-08,62300.96
2025-10-09,62809.65
2025-10-10,63102.36
2025-10-11,62985.21
2025-10-12,63110.01
2025-10-13,63245.09
2025-10-14,63435.47
2025-10-15,64527.1
2025-10-16,64437.37
2025-10-17,64597.22
2025-10-18,65403.64
2025-10-19,66145.44
2025-10-20,66955.89
2025-10-21,66622.81
2025-10-22,68010.22
2025-10-23,68109.99
2025-10-24,69435.99
2025-10-25,68553.52
2025-10-26,68622.75
2025-10-27,69535.38
2025-10-28,69093.66
2025-10-29,68628.87
2025-10-30,68039.67
2025-10-31,67377.97
2025-11-01,67137.32
2025-11-02,67413.38
2025-11-03,66109.46
2025-11-04,66302.49
2025-11-05,67175.48
2025-11-06,68597.97
2025-11-07,69545.43
2025-11-08,70127.37
2025-11-09,68972.56
2025-11-10,68612.86
2025-11-11,68426.2
2025-11-12,68962.34
2025-11-13,68944.63
2025-11-14,68132.02
2025-11-15,69334.16
2025-11-16,70021.54
2025-11-17,70243.81
2025-11-18,71155.65
2025-11-19,70259.96
2025-11-20,70780.46
2025-11-21,70466.96
2025-11-22,71005.15
2025-11-23,71018.77
2025-11-24,71525.11
2025-11-25,72537.56
2025-11-26,72600.87
2025-11-27,73397.71
2025-11-28,72584.15
2025-11-29,72118.44
2025-11-30,73271.77
2025-12-01,73606.91
2025-12-02,72155.22
2025-12-03,71228.72
2025-12-04,71142.69
2025-12-05,71815.54
2025-12-06,71799.82
2025-12-07,72305.43
2025-12-08,73056.69
2025-12-09,74335.95
2025-12-10,74437.06
2025-12-11,74457.91
2025-12-12,73212.06
2025-12-13,73343.35
2025-12-14,72982.61
2025-12-15,72330.14
2025-12-16,72257.87
2025-12-17,73049.06
2025-12-18,71651.81
2025-12-19,71402.98
2025-12-20,71543.38
2025-12-21,70961.59
2025-12-22,71255.3
2025-12-23,71605.47
2025-12-24,71639.1
2025-12-25,69929.86
2025-12-26,71784.02
2025-12-27,71694.08
2025-12-28,72218.3
2025-12-29,72473.79
2025-12-30,73274.38
2025-12-31,73932.14
2026-01-01,73836.18
